'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:30.797',-50.826,1590.482,0.707,-37.351,53.331,2.785,-8.327,2.571,2.704,-8.343,2.586,-0.422,0.216,-0.731,10.794
'0:30.801',-50.273,1610.258,0.974,-39.394,53.992,2.773,-8.343,2.376,2.744,-8.348,2.352,-0.428,0.227,-0.705,10.798
'0:30.805',-49.741,1584.620,1.273,-42.201,54.479,2.785,-8.298,2.232,2.668,-8.389,2.155,-0.414,0.224,-0.735,10.801
'0:30.809',-50.017,1597.792,1.365,-45.582,55.219,2.798,-8.264,2.112,2.746,-8.235,2.158,-0.414,0.224,-0.735,10.805
'0:30.813',-50.550,1608.775,1.470,-49.330,55.640,2.823,-8.253,2.064,2.707,-8.235,2.157,-0.424,0.215,-0.743,10.809
'0:30.816',-50.550,1575.827,1.556,-53.285,56.362,2.798,-8.254,2.003,2.670,-8.238,1.961,-0.414,0.220,-0.747,10.813
'0:30.820',-65.646,1590.482,2.018,-57.836,56.932,2.762,-8.254,1.954,2.709,-8.238,1.961,-0.419,0.206,-0.728,10.817
'0:30.824',-64.561,1567.775,1.731,-62.793,57.311,2.737,-8.278,1.929,2.671,-8.316,1.921,-0.407,0.201,-0.756,10.821
'0:30.828',-50.273,1554.568,1.948,-68.354,57.511,2.675,-8.312,1.952,2.631,-8.392,1.998,-0.407,0.201,-0.774,10.825
'0:30.832',-52.168,1535.533,2.266,-73.785,57.754,2.601,-8.333,2.060,2.554,-8.389,2.075,-0.407,0.201,-0.762,10.829
'0:30.836',-51.082,1495.981,2.256,-78.810,58.120,2.577,-8.342,2.156,2.554,-8.310,2.115,-0.412,0.204,-0.762,10.833
'0:30.840',-48.655,1472.533,3.014,-83.537,57.981,2.650,-8.390,2.253,2.553,-8.387,2.192,-0.400,0.199,-0.739,10.837
'0:30.844',-47.845,1482.032,3.307,-87.637,58.089,2.747,-8.426,2.375,2.667,-8.425,2.350,-0.414,0.188,-0.772,10.840
'0:30.848',-49.741,1495.981,4.070,-91.156,57.637,2.832,-8.474,2.508,2.820,-8.503,2.469,-0.415,0.190,-0.758,10.844
'0:30.852',-51.359,1488.636,4.659,-94.292,57.363,2.918,-8.486,2.618,2.818,-8.459,2.704,-0.393,0.179,-0.800,10.848
'0:30.855',-50.826,1469.602,5.108,-97.130,57.176,2.942,-8.485,2.655,2.974,-8.466,2.511,-0.393,0.183,-0.797,10.852
'0:30.859',-48.655,1463.739,5.518,-99.922,57.054,3.004,-8.426,2.669,3.011,-8.464,2.629,-0.393,0.183,-0.797,10.856
'0:30.863',-48.122,1444.670,5.865,-102.507,56.528,3.078,-8.368,2.683,3.050,-8.349,2.591,-0.394,0.174,-0.781,10.860
'0:30.867',-49.208,1446.153,6.336,-104.091,55.767,3.152,-8.322,2.673,3.127,-8.350,2.593,-0.384,0.170,-0.764,10.864
'0:30.871',-50.826,1471.791,6.425,-105.391,55.001,3.251,-8.252,2.663,3.279,-8.311,2.752,-0.391,0.178,-0.779,10.868
'0:30.875',-50.550,1476.912,6.651,-106.493,54.140,3.374,-8.159,2.630,3.357,-8.159,2.637,-0.394,0.160,-0.760,10.872
'0:30.879',-64.305,1482.774,6.947,-106.776,52.978,3.473,-8.077,2.669,3.551,-8.125,2.562,-0.391,0.165,-0.770,10.876
'0:30.883',-62.942,1462.998,6.594,-107.112,52.000,3.610,-7.887,2.675,3.550,-7.929,2.642,-0.377,0.165,-0.797,10.880
'0:30.887',-64.837,1498.171,6.231,-107.082,51.326,3.708,-7.902,2.676,3.742,-7.854,2.685,-0.377,0.165,-0.797,10.883
'0:30.891',-51.636,1509.153,6.190,-105.766,50.382,3.831,-7.880,2.690,3.704,-7.932,2.645,-0.379,0.146,-0.787,10.887
'0:30.895',-51.891,1521.619,6.241,-103.693,48.955,3.991,-7.774,2.779,4.012,-7.703,2.691,-0.380,0.147,-0.802,10.891
'0:30.898',-48.655,1534.050,5.919,-100.916,47.502,4.090,-7.702,2.890,4.164,-7.701,2.928,-0.373,0.147,-0.804,10.895
'0:30.902',-46.227,1552.378,5.643,-97.780,46.389,4.188,-7.679,2.941,4.279,-7.743,2.890,-0.377,0.144,-0.766,10.899
'0:30.906',-47.590,1567.775,5.140,-93.497,45.384,4.298,-7.633,2.992,4.278,-7.623,3.048,-0.365,0.144,-0.774,10.903
'0:30.910',-50.550,1558.982,4.570,-89.014,44.249,4.322,-7.655,3.101,4.316,-7.623,3.087,-0.365,0.144,-0.774,10.907
'0:30.914',-51.359,1554.568,3.720,-84.463,43.579,4.359,-7.667,3.198,4.393,-7.741,3.088,-0.377,0.133,-0.797,10.911
'0:30.918',-48.655,1570.706,3.389,-78.963,42.953,4.322,-7.653,3.258,4.315,-7.697,3.282,-0.368,0.126,-0.823,10.915
'0:30.922',-46.504,1623.430,2.648,-73.662,42.457,4.286,-7.651,3.306,4.199,-7.695,3.280,-0.368,0.135,-0.808,10.919
'0:30.926',-47.313,1624.172,2.046,-68.644,41.643,4.261,-7.638,3.318,4.276,-7.695,3.360,-0.356,0.119,-0.833,10.923
'0:30.930',-49.741,1615.379,1.757,-62.854,40.291,4.189,-7.552,3.318,4.123,-7.578,3.240,-0.365,0.121,-0.823,10.926
'0:30.934',-50.550,1668.138,1.531,-57.507,38.938,4.178,-7.456,3.308,4.123,-7.462,3.202,-0.368,0.130,-0.804,10.930
'0:30.938',-48.931,1639.569,0.990,-53.009,38.116,4.104,-7.443,3.271,4.161,-7.540,3.242,-0.368,0.130,-0.804,10.934
'0:30.941',-46.781,1681.310,0.089,-48.596,37.128,4.092,-7.419,3.235,4.046,-7.500,3.201,-0.356,0.121,-0.812,10.938
'0:30.945',-47.036,1702.569,-0.420,-44.434,35.889,4.105,-7.371,3.248,4.123,-7.423,3.242,-0.351,0.119,-0.835,10.942
'0:30.949',-49.208,1665.949,-1.540,-35.860,33.636,4.020,-7.297,3.248,4.047,-7.345,3.163,-0.361,0.121,-0.795,10.946
'0:30.953',-50.017,1682.793,-2.906,-33.871,32.922,3.934,-7.355,3.282,3.970,-7.383,3.161,-0.351,0.116,-0.854,10.950
'0:30.957',-48.655,1676.190,-3.300,-29.909,31.709,3.933,-7.451,3.256,3.931,-7.498,3.199,-0.344,0.117,-0.825,10.954
'0:30.961',-47.036,1710.621,-3.389,-25.135,30.273,3.958,-7.391,3.282,3.892,-7.419,3.238,-0.344,0.117,-0.825,10.958
'0:30.965',-47.036,1665.949,-4.335,-22.366,28.847,3.921,-7.401,3.353,3.892,-7.456,3.316,-0.354,0.116,-0.785,10.962
'0:30.969',-48.655,1706.948,-5.795,-20.515,27.925,3.871,-7.448,3.352,3.737,-7.492,3.352,-0.342,0.117,-0.850,10.965
'0:30.973',-49.464,1678.379,-6.429,-18.465,26.785,3.834,-7.531,3.362,3.737,-7.569,3.390,-0.332,0.112,-0.848,10.969
'0:30.977',-48.655,1660.086,-7.208,-16.499,25.793,3.796,-7.590,3.397,3.853,-7.611,3.314,-0.342,0.108,-0.846,10.973
'0:30.980',-47.036,1662.276,-7.991,-14.526,24.789,3.808,-7.649,3.444,3.891,-7.727,3.391,-0.342,0.108,-0.833,10.977
'0:30.984',-47.036,1635.155,-8.742,-11.933,23.284,3.868,-7.758,3.479,3.929,-7.688,3.393,-0.330,0.100,-0.833,10.981
'0:30.988',-48.122,1659.345,-9.608,-9.990,21.861,3.903,-7.902,3.526,3.928,-7.920,3.469,-0.330,0.100,-0.833,10.985
'0:30.992',-48.931,1616.862,-10.588,-9.057,20.835,3.913,-8.094,3.571,3.811,-8.187,3.621,-0.332,0.116,-0.835,10.989
'0:30.996',-48.399,1646.879,-11.311,-7.106,20.004,3.936,-8.275,3.568,3.927,-8.305,3.622,-0.325,0.114,-0.808,10.993
'0:31.000',-47.036,1595.603,-11.801,-5.148,19.034,3.958,-8.443,3.565,3.926,-8.499,3.620,-0.333,0.108,-0.802,10.997
'0:31.004',-62.133,1569.223,-12.437,-4.329,17.973,3.956,-8.600,3.550,3.889,-8.618,3.502,-0.337,0.103,-0.839,11.001
'0:31.008',-62.687,1593.413,-13.026,-3.672,16.816,4.016,-8.782,3.536,4.043,-8.855,3.424,-0.342,0.108,-0.823,11.005
'0:31.012',-48.931,1580.947,-13.271,-2.264,15.767,4.051,-8.891,3.510,4.081,-8.932,3.463,-0.342,0.100,-0.829,11.008
'0:31.016',-50.017,1531.119,-13.561,-0.949,14.432,4.111,-9.001,3.509,4.158,-9.012,3.425,-0.318,0.100,-0.829,11.012
'0:31.020',-47.845,1495.240,-14.156,0.704,12.779,4.135,-9.109,3.544,4.235,-9.168,3.464,-0.335,0.098,-0.841,11.016
'0:31.023',-45.418,1483.515,-14.296,2.555,11.344,4.170,-9.218,3.566,4.196,-9.282,3.541,-0.330,0.100,-0.835,11.020
'0:31.027',-30.321,1491.567,-14.579,4.490,9.935,4.193,-9.374,3.576,4.234,-9.555,3.500,-0.326,0.101,-0.800,11.024
'0:31.031',-33.302,1466.670,-14.824,6.487,8.669,4.203,-9.555,3.573,4.118,-9.513,3.576,-0.330,0.101,-0.850,11.028
'0:31.035',-33.558,1433.687,-14.649,8.858,6.990,4.202,-9.699,3.558,4.234,-9.787,3.576,-0.335,0.096,-0.816,11.032
'0:31.039',-15.501,1405.859,-14.665,10.915,5.402,4.175,-9.866,3.567,4.234,-9.789,3.459,-0.335,0.096,-0.816,11.036
'0:31.043',-14.160,1420.515,-14.426,13.187,3.506,4.136,-10.070,3.550,4.195,-10.060,3.495,-0.319,0.107,-0.871,11.040
'0:31.047',1.214,1353.100,-14.035,15.505,1.792,4.122,-10.274,3.535,4.040,-10.288,3.608,-0.328,0.091,-0.839,11.044
'0:31.051',-0.681,1383.152,-13.796,18.052,-0.100,4.120,-10.467,3.519,4.119,-10.370,3.453,-0.330,0.105,-0.812,11.048
'0:31.055',14.969,1335.513,-13.026,20.829,-1.849,4.105,-10.660,3.467,4.156,-10.680,3.490,-0.325,0.096,-0.808,11.051
'0:31.059',16.310,1335.513,-12.234,23.644,-3.775,4.152,-10.854,3.452,4.156,-10.875,3.449,-0.318,0.105,-0.846,11.055
'0:31.063',18.206,1308.427,-11.798,26.612,-5.842,4.100,-11.118,3.410,4.041,-11.146,3.406,-0.314,0.098,-0.829,11.059
'0:31.066',33.558,1271.807,-11.483,26.925,-7.207,4.024,-11.381,3.368,4.003,-11.496,3.324,-0.314,0.098,-0.829,11.063
'0:31.070',46.781,1256.410,-11.212,26.872,-8.060,3.947,-11.680,3.325,3.926,-11.652,3.244,-0.321,0.098,-0.837,11.067
'0:31.074',46.227,1278.375,-10.509,27.836,-9.073,3.933,-11.910,3.273,3.964,-11.924,3.281,-0.319,0.092,-0.848,11.071
'0:31.078',33.558,1262.272,-8.857,29.373,-10.626,3.894,-12.077,3.269,3.926,-12.117,3.279,-0.319,0.089,-0.856,11.075
'0:31.082',36.262,1242.496,-8.042,28.922,-12.075,3.819,-12.244,3.241,3.811,-12.233,3.237,-0.330,0.107,-0.831,11.079
'0:31.086',34.367,1196.340,-7.679,26.053,-12.853,3.744,-12.376,3.153,3.657,-12.349,3.117,-0.323,0.103,-0.804,11.083
'0:31.090',45.695,1147.995,-6.508,24.195,-13.823,3.719,-12.426,3.030,3.812,-12.432,3.001,-0.323,0.103,-0.804,11.087
'0:31.094',44.609,1142.133,-4.907,22.405,-14.750,3.635,-12.304,3.043,3.620,-12.274,2.960,-0.335,0.103,-0.852,11.090
'0:31.098',33.302,1137.718,-4.105,17.937,-15.489,3.550,-12.206,3.008,3.543,-12.193,3.037,-0.340,0.103,-0.827,11.094
'0:31.102',37.348,1121.615,-3.246,13.945,-16.572,3.478,-12.049,2.949,3.466,-12.038,2.959,-0.318,0.101,-0.858,11.098
'0:31.105',19.547,1120.874,-1.884,10.655,-17.925,3.420,-11.808,2.916,3.390,-11.921,2.920,-0.332,0.103,-0.856,11.102
'0:31.109',-16.310,1113.563,-0.719,6.578,-19.108,3.360,-11.662,2.955,3.390,-11.649,2.922,-0.340,0.108,-0.823,11.106
'0:31.113',-33.026,1079.132,-0.086,2.731,-20.569,3.312,-11.530,2.908,3.237,-11.492,2.882,-0.328,0.108,-0.823,11.110
'0:31.117',-31.407,1068.114,0.557,-1.606,-22.196,3.276,-11.469,2.896,3.237,-11.453,2.882,-0.328,0.108,-0.823,11.114
'0:31.121',-45.695,1060.804,1.321,-5.615,-23.471,3.265,-11.421,2.897,3.237,-11.453,2.882,-0.337,0.112,-0.823,11.118
'0:31.125',-45.972,1071.045,2.234,-9.194,-24.458,3.303,-11.325,2.924,3.275,-11.336,2.923,-0.346,0.108,-0.806,11.122
'0:31.129',-48.399,1104.770,3.090,-12.445,-25.928,3.365,-11.193,2.963,3.391,-11.221,2.964,-0.333,0.114,-0.850,11.126
'0:31.133',-49.464,1101.098,4.004,-14.625,-27.033,3.392,-11.012,3.027,3.351,-11.061,3.161,-0.333,0.112,-0.848,11.130
'0:31.137',-32.749,1141.391,4.497,-17.700,-28.107,3.406,-10.796,3.080,3.389,-10.751,3.163,-0.346,0.105,-0.806,11.133
'0:31.141',-46.504,1125.288,5.499,-20.905,-30.060,3.421,-10.542,3.145,3.505,-10.521,3.128,-0.346,0.105,-0.806,11.137
'0:31.145',-29.512,1153.857,6.658,-21.112,-31.731,3.412,-10.228,3.211,3.427,-10.207,3.247,-0.346,0.108,-0.808,11.141
'0:31.148',-16.310,1217.564,6.779,-21.571,-33.031,3.428,-9.866,3.327,3.390,-9.818,3.249,-0.344,0.103,-0.831,11.145
'0:31.152',-2.832,1242.496,7.084,-20.829,-34.266,3.443,-9.662,3.342,3.466,-9.740,3.329,-0.358,0.101,-0.812,11.149
'0:31.156',45.163,1273.254,7.918,-19.085,-35.845,3.470,-9.458,3.322,3.467,-9.469,3.253,-0.358,0.105,-0.814,11.153
'0:31.160',109.595,1284.237,8.115,-16.951,-37.350,3.509,-9.231,3.327,3.544,-9.159,3.296,-0.356,0.107,-0.825,11.157
'0:31.164',157.845,1290.099,8.459,-14.021,-38.781,3.549,-8.968,3.284,3.506,-9.006,3.180,-0.361,0.107,-0.833,11.161
'0:31.168',222.001,1361.187,8.854,-10.594,-40.038,3.588,-8.693,3.277,3.544,-8.654,3.300,-0.361,0.107,-0.833,11.165
'0:31.172',223.364,1379.480,8.956,-6.051,-41.230,3.580,-8.368,3.271,3.661,-8.503,3.186,-0.366,0.112,-0.814,11.169
'0:31.176',164.851,1401.480,9.096,-1.752,-42.500,3.547,-8.043,3.276,3.545,-8.033,3.305,-0.368,0.101,-0.835,11.173
'0:31.180',43.800,1476.912,9.694,3.779,-43.575,3.490,-7.633,3.271,3.430,-7.759,3.305,-0.380,0.107,-0.818,11.176
'0:31.184',-5.536,1517.947,9.961,9.485,-44.971,3.470,-7.187,3.291,3.431,-7.179,3.193,-0.361,0.110,-0.777,11.180
'0:31.188',-80.211,1528.929,9.961,16.125,-46.345,3.413,-6.825,3.309,3.393,-6.829,3.195,-0.373,0.107,-0.800,11.184
'0:31.191',-56.490,1550.930,9.977,21.869,-47.872,3.293,-6.631,3.286,3.316,-6.749,3.233,-0.379,0.112,-0.829,11.188
'0:31.195',-39.775,1633.707,9.777,26.872,-49.355,3.295,-6.404,3.194,3.279,-6.324,3.080,-0.379,0.112,-0.829,11.192
'0:31.199',-91.794,1626.361,10.747,34.475,-50.617,3.200,-6.162,3.160,3.202,-6.283,3.118,-0.386,0.119,-0.802,11.196
'0:31.203',-99.077,1681.310,10.292,39.363,-52.082,3.215,-5.935,3.116,3.164,-5.934,3.081,-0.386,0.123,-0.831,11.200
'0:31.207',-76.421,1709.138,10.337,46.714,-53.870,3.178,-5.949,2.994,3.165,-6.014,2.925,-0.389,0.130,-0.789,11.204
'0:31.211',-60.259,1734.811,10.060,52.680,-55.832,3.178,-5.962,2.921,3.165,-5.936,2.964,-0.400,0.130,-0.754,11.208
'0:31.215',-29.512,1758.225,9.576,57.698,-57.319,3.263,-6.014,2.801,3.282,-6.060,2.653,-0.410,0.126,-0.779,11.212
'0:31.219',0.681,1788.277,9.315,64.338,-58.350,3.262,-6.149,2.665,3.244,-6.137,2.690,-0.410,0.126,-0.779,11.215
'0:31.223',12.797,1816.105,8.405,70.342,-59.559,3.358,-6.297,2.615,3.321,-6.295,2.612,-0.393,0.121,-0.810,11.219
'0:31.227',7.942,1818.329,7.469,75.330,-60.416,3.318,-6.574,2.537,3.206,-6.527,2.569,-0.401,0.135,-0.766,11.223
'0:31.230',-6.069,1839.553,5.789,78.512,-60.777,3.402,-6.818,2.425,3.400,-6.884,2.336,-0.414,0.140,-0.770,11.227
'0:31.234',-10.923,1846.899,5.137,83.683,-61.069,3.448,-7.013,2.325,3.401,-7.120,2.138,-0.401,0.142,-0.783,11.231
'0:31.238',-16.310,1840.295,4.105,88.441,-61.573,3.458,-7.266,2.309,3.516,-7.276,2.217,-0.424,0.146,-0.760,11.235
'0:31.242',10.370,1825.640,2.015,91.125,-62.226,3.468,-7.519,2.304,3.478,-7.511,2.097,-0.431,0.153,-0.739,11.239
'0:31.246',-8.773,1771.432,0.414,92.013,-61.673,3.539,-7.738,2.253,3.516,-7.588,2.175,-0.431,0.153,-0.739,11.243
'0:31.250',-19.824,1733.328,-0.318,97.971,-61.673,3.573,-7.918,2.262,3.553,-7.897,2.291,-0.410,0.153,-0.770,11.247
'0:31.254',-9.305,1711.363,-1.932,102.133,-62.248,3.719,-8.053,2.334,3.630,-8.249,2.211,-0.426,0.169,-0.735,11.251
'0:31.258',-2.832,1665.949,-3.428,107.036,-62.004,3.740,-8.389,2.353,3.629,-8.441,2.327,-0.415,0.176,-0.745,11.255
'0:31.262',7.133,1631.482,-5.770,110.424,-61.921,3.785,-8.715,2.360,3.706,-8.871,2.247,-0.422,0.165,-0.749,11.258
'0:31.266',7.687,1566.292,-7.224,115.060,-61.221,3.783,-8.919,2.332,3.667,-8.909,2.285,-0.442,0.179,-0.722,11.262
'0:31.270',-1.214,1523.809,-8.427,120.055,-60.651,3.744,-9.062,2.377,3.744,-9.027,2.246,-0.442,0.179,-0.722,11.266
'0:31.273',-7.410,1462.256,-10.009,124.423,-60.325,3.705,-9.326,2.372,3.666,-9.257,2.360,-0.450,0.199,-0.733,11.270
'0:31.277',-3.364,1437.360,-11.696,128.232,-60.412,3.764,-9.471,2.358,3.705,-9.570,2.280,-0.431,0.201,-0.705,11.274
'0:31.281',5.259,1380.963,-13.020,132.883,-60.090,3.762,-9.675,2.379,3.705,-9.762,2.357,-0.440,0.197,-0.735,11.278
'0:31.285',6.878,1355.325,-14.853,137.097,-59.899,3.760,-9.892,2.374,3.666,-9.917,2.355,-0.428,0.209,-0.703,11.282
'0:31.289',15.501,1272.513,-15.881,141.626,-59.390,3.793,-10.155,2.455,3.742,-10.227,2.432,-0.429,0.218,-0.764,11.286
'0:31.293',-6.069,1210.254,-17.173,146.238,-59.272,3.840,-10.375,2.355,3.781,-10.384,2.392,-0.438,0.220,-0.720,11.290
'0:31.297',-2.300,1177.270,-18.694,149.780,-58.746,3.764,-10.637,2.373,3.742,-10.617,2.351,-0.438,0.220,-0.720,11.294
'0:31.301',4.727,1169.960,-19.658,153.207,-58.720,3.824,-10.772,2.299,3.818,-10.927,2.466,-0.445,0.231,-0.701,11.298
'0:31.305',5.536,1079.132,-20.607,156.205,-58.255,3.810,-10.857,2.237,3.781,-10.892,2.232,-0.433,0.241,-0.699,11.301
'0:31.309',15.225,1086.442,-21.231,158.852,-57.702,3.797,-10.978,2.174,3.782,-10.972,2.153,-0.435,0.254,-0.724,11.305
'0:31.313',-5.259,1011.717,-22.208,161.292,-57.515,3.797,-10.979,2.113,3.744,-10.933,2.114,-0.443,0.252,-0.693,11.309
'0:31.316',13.883,1035.166,-22.936,163.227,-57.202,3.785,-10.992,2.053,3.668,-11.052,1.916,-0.426,0.259,-0.747,11.313
'0:31.320',19.270,965.562,-23.509,165.063,-56.871,3.772,-11.006,1.919,3.784,-11.054,1.879,-0.426,0.257,-0.724,11.317
'0:31.324',20.633,996.320,-23.764,167.373,-56.632,3.712,-10.982,1.858,3.669,-11.054,1.799,-0.438,0.257,-0.724,11.321
'0:31.328',0.937,963.372,-24.031,169.171,-56.976,3.675,-10.959,1.773,3.593,-10.938,1.721,-0.436,0.278,-0.685,11.325
'0:31.332',12.797,931.130,-24.069,170.930,-56.967,3.590,-10.958,1.712,3.515,-10.973,1.836,-0.442,0.280,-0.682,11.329
'0:31.336',12.797,917.216,-23.773,172.337,-57.067,3.565,-10.959,1.639,3.440,-10.975,1.640,-0.422,0.293,-0.708,11.333
'0:31.340',17.120,960.441,-23.611,171.366,-57.824,3.419,-10.896,1.601,3.363,-10.897,1.600,-0.433,0.294,-0.685,11.337
'0:31.344',20.079,958.958,-22.574,171.986,-57.820,3.334,-10.798,1.602,3.285,-10.817,1.677,-0.407,0.314,-0.672,11.340
'0:31.348',17.929,959.699,-21.501,172.903,-58.059,3.249,-10.686,1.675,3.131,-10.657,1.793,-0.407,0.314,-0.672,11.344
'0:31.352',13.883,942.113,-20.562,172.475,-58.311,3.116,-10.562,1.724,3.016,-10.578,1.714,-0.414,0.302,-0.705,11.348
'0:31.355',13.074,962.630,-19.066,172.575,-58.324,3.006,-10.511,1.772,2.900,-10.458,1.830,-0.424,0.312,-0.676,11.352
'0:31.359',16.587,983.890,-17.313,172.031,-58.302,2.897,-10.423,1.833,2.862,-10.457,1.829,-0.424,0.333,-0.682,11.356
'0:31.363',34.644,974.355,-15.289,171.152,-58.824,2.751,-10.384,1.819,2.668,-10.336,1.905,-0.403,0.333,-0.676,11.360
'0:31.367',33.026,1035.166,-13.357,170.180,-58.837,2.690,-10.286,1.844,2.630,-10.296,1.905,-0.405,0.335,-0.697,11.364
'0:31.371',30.321,1043.959,-10.579,168.176,-58.759,2.545,-10.151,1.796,2.400,-10.178,1.824,-0.391,0.346,-0.662,11.368
'0:31.375',14.969,1105.477,-8.873,164.681,-58.824,2.412,-9.994,1.688,2.324,-9.984,1.707,-0.391,0.346,-0.662,11.372
'0:31.379',17.652,1103.287,-6.330,161.651,-58.450,2.316,-9.813,1.618,2.248,-9.908,1.589,-0.391,0.358,-0.720,11.376
'0:31.383',33.558,1144.322,-4.156,156.985,-58.694,2.196,-9.656,1.473,2.135,-9.676,1.393,-0.396,0.356,-0.668,11.380
'0:31.387',30.875,1164.840,-2.186,151.707,-58.529,2.075,-9.464,1.342,2.097,-9.482,1.355,-0.391,0.364,-0.666,11.383
'0:31.391',30.066,1212.443,0.054,145.909,-58.459,1.943,-9.284,1.186,1.868,-9.289,1.119,-0.375,0.367,-0.634,11.387
'0:31.395',31.684,1225.651,2.113,139.461,-58.498,1.884,-9.080,1.068,1.754,-9.096,0.962,-0.370,0.371,-0.672,11.391
'0:31.398',33.558,1224.909,3.768,132.324,-58.555,1.812,-8.936,0.973,1.678,-9.020,0.805,-0.370,0.371,-0.672,11.395
'0:31.402',33.302,1287.910,5.388,124.721,-58.172,1.752,-8.804,0.890,1.487,-8.863,0.686,-0.382,0.378,-0.639,11.399
'0:31.406',46.781,1273.996,7.030,117.033,-57.554,1.704,-8.756,0.853,1.640,-8.825,0.806,-0.363,0.385,-0.691,11.403
'0:31.410',45.163,1344.307,8.838,109.277,-57.319,1.668,-8.695,0.818,1.640,-8.708,0.807,-0.368,0.378,-0.674,11.407
'0:31.414',62.687,1320.893,10.528,101.046,-56.998,1.657,-8.598,0.856,1.602,-8.629,0.846,-0.366,0.394,-0.628,11.411
'0:31.418',49.464,1366.307,12.081,92.931,-56.202,1.608,-8.536,0.893,1.601,-8.510,0.964,-0.377,0.395,-0.639,11.415
'0:31.422',66.179,1409.532,13.452,86.398,-55.710,1.585,-8.439,0.930,1.524,-8.549,0.884,-0.354,0.390,-0.662,11.419
'0:31.426',62.942,1428.566,15.232,77.709,-54.453,1.549,-8.400,1.015,1.446,-8.428,1.041,-0.354,0.390,-0.662,11.423
'0:31.430',61.068,1434.429,16.543,69.585,-53.561,1.463,-8.362,1.039,1.369,-8.389,1.000,-0.365,0.390,-0.636,11.426
'0:31.434',62.687,1452.015,17.405,59.481,-52.470,1.390,-8.335,1.099,1.292,-8.348,1.078,-0.342,0.395,-0.628,11.430
'0:31.438',65.370,1463.739,18.834,50.997,-51.630,1.415,-8.263,1.112,1.254,-8.269,1.078,-0.359,0.383,-0.655,11.434
'0:31.441',65.370,1468.860,20.769,43.914,-51.147,1.441,-8.178,1.199,1.407,-8.154,1.159,-0.358,0.397,-0.616,11.438
'0:31.445',63.219,1479.843,21.947,35.768,-50.960,1.490,-8.130,1.237,1.407,-8.153,1.198,-0.365,0.402,-0.628,11.442
'0:31.449',61.324,1477.653,22.602,27.920,-50.112,1.576,-8.096,1.251,1.559,-8.114,1.357,-0.365,0.404,-0.603,11.446
'0:31.453',77.783,1491.567,23.512,21.127,-49.216,1.662,-8.074,1.265,1.561,-8.039,1.201,-0.352,0.404,-0.603,11.450
'0:31.457',79.402,1497.429,24.283,15.314,-48.333,1.773,-8.003,1.316,1.675,-8.039,1.321,-0.363,0.399,-0.634,11.454
'0:31.461',80.743,1470.343,24.986,9.722,-47.633,1.847,-7.981,1.329,1.790,-8.001,1.362,-0.344,0.402,-0.590,11.458
'0:31.465',64.561,1481.326,25.447,4.888,-47.128,1.909,-7.922,1.343,1.868,-7.926,1.286,-0.354,0.402,-0.659,11.462
'0:31.469',47.590,1497.429,25.705,0.344,-46.563,1.958,-7.887,1.357,1.829,-7.926,1.285,-0.365,0.395,-0.618,11.465
'0:31.473',46.781,1490.119,25.829,-4.406,-46.019,1.971,-7.863,1.358,1.868,-7.887,1.286,-0.372,0.401,-0.620,11.469
'0:31.477',30.598,1499.619,26.046,-8.315,-45.367,2.008,-7.828,1.347,1.945,-7.850,1.288,-0.372,0.401,-0.620,11.473
'0:31.480',31.684,1495.240,26.132,-12.507,-44.810,2.069,-7.817,1.360,2.059,-7.771,1.447,-0.356,0.399,-0.582,11.477
'0:31.484',16.034,1476.205,25.635,-15.620,-44.362,2.131,-7.758,1.398,2.099,-7.736,1.291,-0.368,0.392,-0.622,11.481
'0:31.488',15.501,1492.309,25.766,-18.473,-43.857,2.192,-7.746,1.435,2.214,-7.814,1.371,-0.373,0.388,-0.590,11.485
'0:31.492',-1.491,1501.102,25.276,-21.341,-43.427,2.266,-7.723,1.461,2.175,-7.774,1.370,-0.365,0.395,-0.647,11.489
'0:31.496',-1.491,1480.584,25.059,-23.544,-42.857,2.279,-7.675,1.498,2.290,-7.697,1.451,-0.379,0.385,-0.618,11.493
'0:31.500',-16.843,1478.395,24.327,-25.449,-42.374,2.327,-7.699,1.535,2.328,-7.774,1.529,-0.382,0.392,-0.584,11.497
'0:31.504',-16.310,1452.015,23.847,-26.749,-41.939,2.364,-7.700,1.559,2.291,-7.700,1.334,-0.382,0.392,-0.584,11.501
'0:31.508',-17.120,1461.550,23.309,-27.912,-41.352,2.401,-7.700,1.584,2.291,-7.698,1.412,-0.389,0.390,-0.580,11.505
'0:31.512',-18.206,1493.050,22.605,-29.082,-40.834,2.438,-7.664,1.622,2.327,-7.655,1.647,-0.380,0.394,-0.622,11.508
'0:31.516',-33.558,1487.894,21.772,-29.587,-40.373,2.462,-7.652,1.683,2.442,-7.696,1.688,-0.396,0.379,-0.599,11.512
'0:31.520',-47.313,1486.446,21.161,-29.671,-39.729,2.512,-7.616,1.721,2.481,-7.658,1.650,-0.377,0.390,-0.578,11.516
